# Chi matrix between files: ['./processing/RNA01_1.0_man01.dat', './processing/RNA02_1.0_man01.dat', './processing/RNA03_1.0_man01.dat', './processing/RNA04_1.0_man01.dat', './processing/RNA05_1.0_man01.dat', './processing/RNA06_1.0_man01.dat', './processing/RNA07_1.0_man01.dat', './processing/RNA08_1.0_man01.dat', './processing/RNA09_1.0_man01.dat', './processing/RNA10_1.0_man01.dat', './processing/RNA11_1.0_man01.dat', './processing/RNA12_1.0_man01.dat']
# npts_fit =      570
# qmin_fit = 0.301172
# qmax_fit =  2.99986
0.000000  0.903572  1.110289  1.307166  0.892580  1.257549  1.425335  0.880195  1.011251  0.865641  0.849038  0.901252  
0.903572  0.000000  1.242896  1.709470  1.617652  1.429097  2.223281  0.959669  1.560654  1.629282  1.701503  2.122304  
1.110289  1.242896  0.000000  1.057803  1.965847  0.945291  1.368674  1.443512  1.433127  1.959474  2.120577  2.483890  
1.307166  1.709470  1.057803  0.000000  2.312660  0.744005  0.801482  1.968814  1.914304  2.438541  2.589467  2.893598  
0.892580  1.617652  1.965847  2.312660  0.000000  2.113368  2.570876  1.413668  1.572089  1.106500  1.004763  0.981447  
1.257549  1.429097  0.945291  0.744005  2.113368  0.000000  0.795193  1.612278  1.529721  1.998427  2.108068  2.345234  
1.425335  2.223281  1.368674  0.801482  2.570876  0.795193  0.000000  2.495984  2.376076  2.964019  3.156863  3.552168  
0.880195  0.959669  1.443512  1.968814  1.413668  1.612278  2.495984  0.000000  1.210609  1.187994  1.264967  1.626694  
1.011251  1.560654  1.433127  1.914304  1.572089  1.529721  2.376076  1.210609  0.000000  1.241991  1.406555  1.640446  
0.865641  1.629282  1.959474  2.438541  1.106500  1.998427  2.964019  1.187994  1.241991  0.000000  0.791349  0.878233  
0.849038  1.701503  2.120577  2.589467  1.004763  2.108068  3.156863  1.264967  1.406555  0.791349  0.000000  0.834958  
0.901252  2.122304  2.483890  2.893598  0.981447  2.345234  3.552168  1.626694  1.640446  0.878233  0.834958  0.000000  
