# Fitted chi: 0.211947 +- 0.00591917
# Scaling factor for file 1: 0.884761 +- 0.00190142
# Scaling factor for file 2: 0.0841992 +- 0.0452655
# Scaling factor for file 3: 0.00531964 +- 0.0679328
# Scaling factor for file 4: 0.0237756 +- 0.0526981

0 0.218281
1 0.221167
2 0.216991
3 0.208449
4 0.212427
5 0.207585
6 0.212277
7 0.211668
8 0.217576
9 0.215808
10 0.203971
11 0.217977
12 0.210017
13 0.208276
14 0.203835
15 0.21611
16 0.202554
17 0.215616
18 0.212078
19 0.218649
20 0.213945
21 0.212197
22 0.213778
23 0.215276
24 0.194968
25 0.213774
26 0.221321
27 0.227172
28 0.222542
29 0.211847
30 0.215327
31 0.209511
32 0.218129
33 0.200576
34 0.210819
35 0.220184
36 0.207844
37 0.212246
38 0.210651
39 0.223824
40 0.213406
41 0.220001
42 0.21353
43 0.21253
44 0.212893
45 0.210094
46 0.211459
47 0.207155
48 0.199733
49 0.198162
50 0.214834
51 0.211388
52 0.218852
53 0.215055
54 0.21432
55 0.20701
56 0.215206
57 0.210141
58 0.209996
59 0.202128
60 0.203932
61 0.207031
62 0.216498
63 0.214594
64 0.225846
65 0.207666
66 0.213775
67 0.211154
68 0.211663
69 0.210037
70 0.207932
71 0.221199
72 0.207294
73 0.218541
74 0.220504
75 0.20955
76 0.217714
77 0.215615
78 0.205532
79 0.206739
80 0.21018
81 0.209885
82 0.212461
83 0.208624
84 0.218354
85 0.206102
86 0.205625
87 0.203805
88 0.208218
89 0.207532
90 0.2153
91 0.207599
92 0.205831
93 0.207467
94 0.214348
95 0.204254
96 0.207831
97 0.216677
98 0.213399
99 0.213291
