# Chi matrix between files: ['./subtracted/Sxl_50.0_RNA01_0.8_man01.dat', './subtracted/Sxl_50.0_RNA02_0.8_man01.dat', './subtracted/Sxl_50.0_RNA03_0.8_man01.dat', './subtracted/Sxl_50.0_RNA04_0.8_man01.dat', './subtracted/Sxl_50.0_RNA05_0.8_man01.dat', './subtracted/Sxl_50.0_RNA06_0.8_man01.dat', './subtracted/Sxl_50.0_RNA07_0.8_man01.dat', './subtracted/Sxl_50.0_RNA08_0.8_man01.dat', './subtracted/Sxl_50.0_RNA09_0.8_man01.dat', './subtracted/Sxl_50.0_RNA10_0.8_man01.dat', './subtracted/Sxl_50.0_RNA11_0.8_man01.dat', './subtracted/Sxl_50.0_RNA12_0.8_man01.dat']
# npts_fit =      570
# qmin_fit = 0.301172
# qmax_fit =  2.99986
0.000000 0.143192 0.103424 0.220591 0.190325 0.170511 0.183556 0.110084 0.110377 0.158986 0.146559 0.210681
0.143192 0.000000 0.076625 0.116656 0.347307 0.156304 0.085204 0.105479 0.205288 0.271187 0.293200 0.351972
0.103424 0.076625 0.000000 0.148131 0.307055 0.132248 0.082110 0.068090 0.167501 0.233378 0.254565 0.313172
0.220590 0.116656 0.148131 0.000000 0.420225 0.093360 0.078699 0.207113 0.303160 0.358669 0.370169 0.430447
0.190325 0.347307 0.307055 0.420225 0.000000 0.372266 0.387732 0.241448 0.135051 0.091002 0.051555 0.051070
0.170511 0.156304 0.132248 0.093360 0.372266 0.000000 0.091437 0.192019 0.235624 0.299709 0.320808 0.380529
0.183556 0.085204 0.082110 0.078699 0.387732 0.091437 0.000000 0.147898 0.249031 0.315037 0.335869 0.393803
0.110084 0.105479 0.068090 0.207113 0.241448 0.192019 0.147898 0.000000 0.104846 0.167592 0.188849 0.247903
0.110377 0.205288 0.167501 0.303160 0.135051 0.235624 0.249031 0.104846 0.000000 0.064885 0.084952 0.145512
0.158986 0.271187 0.233378 0.358669 0.091002 0.299709 0.315037 0.167592 0.064885 0.000000 0.052693 0.082430
0.146559 0.293200 0.254565 0.370169 0.051555 0.320808 0.335869 0.188849 0.084952 0.052693 0.000000 0.065463
0.210681 0.351972 0.313172 0.430447 0.051070 0.380529 0.393803 0.247903 0.145512 0.082430 0.065463 0.000000
